Log Age,Age(yr),Age(Myr),Mbol,Mu,Mb,Mv,Mk,Mr,Mj
,0,0,-2.6809,0.2298,1.3353,1.6519,2.4551,1.7573,2.325
5.100002,125893.1209,0.125893121,-2.6809,0.2298,1.3353,1.6519,2.4551,1.7573,2.325
5.150001,141254.0797,0.14125408,-2.6809,0.2298,1.3353,1.6519,2.4551,1.7573,2.325
5.199999,158488.9543,0.158488954,-2.6809,0.2298,1.3353,1.6519,2.4551,1.7573,2.325
5.25,177827.941,0.177827941,-2.6809,0.2298,1.3353,1.6519,2.4551,1.7573,2.325
5.300002,199527.1504,0.19952715,-2.6809,0.2298,1.3353,1.6519,2.4551,1.7573,2.325
5.350002,223873.1448,0.223873145,-2.6809,0.2298,1.3353,1.6519,2.4551,1.7573,2.325
5.400001,251189.2215,0.251189222,-2.6809,0.2298,1.3353,1.6519,2.4551,1.7573,2.325
5.450001,281838.9421,0.281838942,-2.6809,0.2298,1.3353,1.6519,2.4551,1.7573,2.325
5.500002,316229.2223,0.316229222,-2.6809,0.2298,1.3353,1.6519,2.4551,1.7573,2.325
5.550002,354815.0232,0.354815023,-2.6809,0.2298,1.3353,1.6519,2.4551,1.7573,2.325
5.600002,398109.0039,0.398109004,-2.6809,0.2298,1.3353,1.6519,2.4551,1.7573,2.325
5.650002,446685.6492,0.446685649,-2.6809,0.2298,1.3353,1.6519,2.4551,1.7573,2.325
5.700002,501189.5417,0.501189542,-2.6809,0.2298,1.3353,1.6519,2.4551,1.7573,2.325
5.750002,562343.9149,0.562343915,-2.6809,0.2298,1.3353,1.6519,2.4551,1.7573,2.325
5.800003,630961.703,0.630961703,-2.6809,0.2298,1.3353,1.6519,2.4551,1.7573,2.325
5.850003,707950.6747,0.707950675,-2.6809,0.2298,1.3353,1.6519,2.4551,1.7573,2.325
5.900003,794333.7218,0.794333722,-2.6809,0.2298,1.3353,1.6519,2.4551,1.7573,2.325
5.950003,891257.0947,0.891257095,-2.6809,0.2298,1.3353,1.6519,2.4551,1.7573,2.325
6,1000000,1,-2.6809,0.2298,1.3353,1.6519,2.4551,1.7573,2.325
6.02,1047128.548,1.047128548,-2.6809,0.2298,1.3353,1.6519,2.4551,1.7573,2.325
6.040001,1096480.721,1.096480721,-2.6809,0.2298,1.3353,1.6519,2.4551,1.7573,2.325
6.059999,1148150.978,1.148150978,-2.6809,0.2298,1.3353,1.6519,2.4551,1.7573,2.325
6.079998,1202258.898,1.202258898,-2.6809,0.2298,1.3353,1.6519,2.4551,1.7573,2.325
