Log Age,Age(yr),Age(Myr),Mbol,Mu,Mb,Mv,Mk
,0,0,-2.7083,-0.1691,0.8858,1.1864,1.9191
5.100002,125893.1209,0.125893121,-2.7083,-0.1691,0.8858,1.1864,1.9191
5.150001,141254.0797,0.14125408,-2.7083,-0.1691,0.8858,1.1864,1.9191
5.199999,158488.9543,0.158488954,-2.7083,-0.1691,0.8858,1.1864,1.9191
5.25,177827.941,0.177827941,-2.7083,-0.1691,0.8858,1.1864,1.9191
5.300002,199527.1504,0.19952715,-2.7083,-0.1691,0.8858,1.1864,1.9191
5.350002,223873.1448,0.223873145,-2.7083,-0.1691,0.8858,1.1864,1.9191
5.400001,251189.2215,0.251189222,-2.7083,-0.1691,0.8858,1.1864,1.9191
5.450001,281838.9421,0.281838942,-2.7083,-0.1691,0.8858,1.1864,1.9191
5.500002,316229.2223,0.316229222,-2.7083,-0.1691,0.8858,1.1864,1.9191
5.550002,354815.0232,0.354815023,-2.7083,-0.1691,0.8858,1.1864,1.9191
5.600002,398109.0039,0.398109004,-2.7083,-0.1691,0.8858,1.1864,1.9191
5.650002,446685.6492,0.446685649,-2.7083,-0.1691,0.8858,1.1864,1.9191
5.700002,501189.5417,0.501189542,-2.7083,-0.1691,0.8858,1.1864,1.9191
5.750002,562343.9149,0.562343915,-2.7083,-0.1691,0.8858,1.1864,1.9191
5.800003,630961.703,0.630961703,-2.7083,-0.1691,0.8858,1.1864,1.9191
5.850003,707950.6747,0.707950675,-2.7083,-0.1691,0.8858,1.1864,1.9191
5.900003,794333.7218,0.794333722,-2.7083,-0.1691,0.8858,1.1864,1.9191
5.950003,891257.0947,0.891257095,-2.7083,-0.1691,0.8858,1.1864,1.9191
6,1000000,1,-2.7083,-0.1691,0.8858,1.1864,1.9191
6.02,1047128.548,1.047128548,-2.7083,-0.1691,0.8858,1.1864,1.9191
6.040001,1096480.721,1.096480721,-2.7083,-0.1691,0.8858,1.1864,1.9191
6.059999,1148150.978,1.148150978,-2.7083,-0.1691,0.8858,1.1864,1.9191
6.079998,1202258.898,1.202258898,-2.7083,-0.1691,0.8858,1.1864,1.9191
6.100002,1258931.209,1.258931209,-2.7083,-0.1691,0.8858,1.1864,1.9191
6.120001,1318259.774,1.318259774,-2.7083,-0.1691,0.8858,1.1864,1.9191
6.139998,1380377.908,1.380377908,-2.7083,-0.1691,0.8858,1.1864,1.9191
6.16,1445439.771,1.445439771,-2.7083,-0.1691,0.8858,1.1864,1.9191
6.18,1513561.248,1.513561248,-2.7083,-0.1691,0.8858,1.1864,1.9191
6.199999,1584889.543,1.584889543,-2.7083,-0.1691,0.8858,1.1864,1.9191
6.220001,1659590.729,1.659590729,-2.7083,-0.1691,0.8858,1.1864,1.9191
6.24,1737800.829,1.737800829,-2.7863,-0.4195,0.6572,0.9742,1.72
6.26,1819700.859,1.819700859,-2.7869,-0.4201,0.6566,0.9737,1.7195
