Log Age,Age(yr),Age(Myr),Mass
,0,0,1.04E+02
5.100002,125893.1209,0.125893121,1.04E+02
5.150001,141254.0797,0.14125408,1.04E+02
5.199999,158488.9543,0.158488954,1.04E+02
5.25,177827.941,0.177827941,1.04E+02
5.300002,199527.1504,0.19952715,1.04E+02
5.350002,223873.1448,0.223873145,1.04E+02
5.400001,251189.2215,0.251189222,1.04E+02
5.450001,281838.9421,0.281838942,1.04E+02
5.500002,316229.2223,0.316229222,1.04E+02
5.550002,354815.0232,0.354815023,1.04E+02
5.600002,398109.0039,0.398109004,1.04E+02
5.650002,446685.6492,0.446685649,1.04E+02
5.700002,501189.5417,0.501189542,1.04E+02
5.750002,562343.9149,0.562343915,1.04E+02
5.800003,630961.703,0.630961703,1.04E+02
5.850003,707950.6747,0.707950675,1.04E+02
5.900003,794333.7218,0.794333722,1.04E+02
5.950003,891257.0947,0.891257095,1.04E+02
6,1000000,1,1.04E+02
6.02,1047128.548,1.047128548,1.04E+02
6.040001,1096480.721,1.096480721,1.04E+02
6.059999,1148150.978,1.148150978,1.04E+02
6.079998,1202258.898,1.202258898,1.04E+02
6.100002,1258931.209,1.258931209,1.04E+02
6.120001,1318259.774,1.318259774,1.04E+02
6.139998,1380377.908,1.380377908,1.04E+02
6.16,1445439.771,1.445439771,1.04E+02
6.18,1513561.248,1.513561248,1.04E+02
6.199999,1584889.543,1.584889543,1.04E+02
6.220001,1659590.729,1.659590729,1.04E+02
6.24,1737800.829,1.737800829,1.04E+02
6.26,1819700.859,1.819700859,1.04E+02
6.28,1905460.718,1.905460718,1.04E+02
6.3,1995262.315,1.995262315,1.04E+02
6.319999,2089291.32,2.08929132,1.04E+02
6.34,2187761.624,2.187761624,1.04E+02
6.360001,2290872.928,2.290872928,1.04E+02
6.38,2398832.919,2.398832919,1.04E+02
6.399999,2511880.648,2.511880648,1.04E+02
6.420001,2630274.048,2.630274048,1.04E+02
6.44,2754228.703,2.754228703,1.04E+02
6.46,2884031.503,2.884031503,1.04E+02
6.48,3019951.72,3.01995172,1.04E+02
6.499999,3162270.379,3.162270379,9.48E+01
6.52,3311311.215,3.311311215,8.65E+01
6.539999,3467360.521,3.467360521,7.91E+01
6.56,3630780.548,3.630780548,7.25E+01
6.579999,3801885.209,3.801885209,6.67E+01
6.6,3981071.706,3.981071706,6.15E+01
6.619999,4168684.236,4.168684236,5.68E+01
6.639999,4365148.271,4.365148271,5.27E+01
6.66,4570881.896,4.570881896,4.89E+01
6.679999,4786289.902,4.786289902,4.55E+01
6.699999,5011860.796,5.011860796,4.25E+01
6.72,5248074.602,5.248074602,3.97E+01
6.739999,5495396.085,5.495396085,3.72E+01
6.759999,5754386.123,5.754386123,3.49E+01
6.78,6025595.861,6.025595861,3.29E+01
6.799999,6309558.916,6.309558916,3.10E+01
6.819999,6606919.267,6.606919267,2.93E+01
6.839999,6918293.779,6.918293779,2.77E+01
6.86,7244359.601,7.244359601,2.62E+01
6.879999,7585758.283,7.585758283,2.49E+01
6.899999,7943264.057,7.943264057,2.37E+01
6.919999,8317618.559,8.317618559,2.25E+01
6.939999,8709615.845,8.709615845,2.15E+01
6.959999,9120087.394,9.120087394,2.06E+01
6.979999,9549903.871,9.549903871,1.96E+01
6.999999,9999976.974,9.999976974,1.88E+01
7.02,10471285.48,10.47128548,1.80E+01
7.040001,10964807.21,10.96480721,1.73E+01
7.059999,11481509.78,11.48150978,1.67E+01
7.079998,12022588.98,12.02258898,1.60E+01
7.099998,12589196.14,12.58919614,1.54E+01
7.119998,13182506.68,13.18250668,1.49E+01
7.139998,13803779.08,13.80377908,1.44E+01
7.16,14454397.71,14.45439771,1.39E+01
7.18,15135612.48,15.13561248,1.34E+01
7.199999,15848895.43,15.84889543,1.30E+01
7.219998,16595792.65,16.59579265,1.26E+01
7.24,17378008.29,17.37800829,1.22E+01
7.26,18197008.59,18.19700859,1.19E+01
7.28,19054607.18,19.05460718,1.15E+01
7.3,19952623.15,19.95262315,1.12E+01
